date,score
Sun Dec 17 22:27:38 UTC 2017,23.92
Sun Dec 17 22:27:48 UTC 2017,23.92
Sun Dec 17 22:27:56 UTC 2017,23.92
Sun Dec 17 22:28:05 UTC 2017,23.92
Sun Dec 17 22:28:13 UTC 2017,23.92
Sun Dec 17 22:28:21 UTC 2017,23.92
Sun Dec 17 22:28:35 UTC 2017,23.92
Sun Dec 17 22:28:45 UTC 2017,23.92
Sun Dec 17 22:28:53 UTC 2017,23.92
Sun Dec 17 22:29:03 UTC 2017,23.92
Sun Dec 17 22:29:10 UTC 2017,23.92
Sun Dec 17 22:29:19 UTC 2017,23.92
Sun Dec 17 22:29:27 UTC 2017,23.92
Sun Dec 17 22:29:36 UTC 2017,23.92
Sun Dec 17 22:29:44 UTC 2017,23.92
Sun Dec 17 22:29:53 UTC 2017,23.92
Sun Dec 17 22:30:02 UTC 2017,23.92
Sun Dec 17 22:30:10 UTC 2017,23.92
Sun Dec 17 22:30:18 UTC 2017,23.92
Sun Dec 17 22:30:30 UTC 2017,23.92
Sun Dec 17 22:30:38 UTC 2017,23.92
Sun Dec 17 22:30:46 UTC 2017,23.92
Sun Dec 17 22:30:55 UTC 2017,23.92
Sun Dec 17 22:31:03 UTC 2017,23.92
Sun Dec 17 22:31:15 UTC 2017,23.92
Sun Dec 17 22:31:26 UTC 2017,23.92
Sun Dec 17 22:31:35 UTC 2017,23.93
Sun Dec 17 22:31:44 UTC 2017,23.92
Sun Dec 17 22:31:54 UTC 2017,23.92
Sun Dec 17 22:32:02 UTC 2017,23.92
Sun Dec 17 22:32:13 UTC 2017,23.92
Sun Dec 17 22:32:22 UTC 2017,23.93
Sun Dec 17 22:32:33 UTC 2017,23.92
Sun Dec 17 22:32:41 UTC 2017,23.92
Sun Dec 17 22:32:49 UTC 2017,23.92
Sun Dec 17 22:32:58 UTC 2017,23.92
Sun Dec 17 22:33:07 UTC 2017,23.92
Sun Dec 17 22:33:16 UTC 2017,23.92
Sun Dec 17 22:33:25 UTC 2017,23.92
Sun Dec 17 22:33:34 UTC 2017,23.92
Sun Dec 17 22:33:42 UTC 2017,23.92
Sun Dec 17 22:33:52 UTC 2017,23.92
Sun Dec 17 22:34:02 UTC 2017,23.93
Sun Dec 17 22:34:13 UTC 2017,23.93
Sun Dec 17 22:34:22 UTC 2017,23.92
Sun Dec 17 22:34:39 UTC 2017,23.92
Sun Dec 17 22:34:46 UTC 2017,23.92
Sun Dec 17 22:34:54 UTC 2017,23.92
Sun Dec 17 22:35:02 UTC 2017,23.92
Sun Dec 17 22:35:11 UTC 2017,23.92
Sun Dec 17 22:35:19 UTC 2017,23.92
Sun Dec 17 22:35:27 UTC 2017,23.92
Sun Dec 17 22:35:36 UTC 2017,23.92
Sun Dec 17 22:35:44 UTC 2017,23.92
Sun Dec 17 22:35:53 UTC 2017,23.92
Sun Dec 17 22:36:01 UTC 2017,23.92
Sun Dec 17 22:36:09 UTC 2017,23.92
Sun Dec 17 22:36:17 UTC 2017,23.92
Sun Dec 17 22:36:30 UTC 2017,23.92
Sun Dec 17 22:36:39 UTC 2017,23.92
Sun Dec 17 22:36:47 UTC 2017,23.92
Sun Dec 17 22:36:57 UTC 2017,23.92
Sun Dec 17 22:37:06 UTC 2017,23.92
Sun Dec 17 22:37:14 UTC 2017,23.92
Sun Dec 17 22:37:22 UTC 2017,23.92
Sun Dec 17 22:37:31 UTC 2017,23.93
Sun Dec 17 22:37:40 UTC 2017,23.93
Sun Dec 17 22:37:48 UTC 2017,23.93
Sun Dec 17 22:37:57 UTC 2017,23.93
Sun Dec 17 22:38:06 UTC 2017,23.93
Sun Dec 17 22:38:19 UTC 2017,23.93
Sun Dec 17 22:38:31 UTC 2017,23.93
Sun Dec 17 22:38:40 UTC 2017,23.93
Sun Dec 17 22:38:49 UTC 2017,23.93
Sun Dec 17 22:38:57 UTC 2017,23.94
Sun Dec 17 22:39:05 UTC 2017,23.93
Sun Dec 17 22:39:17 UTC 2017,23.93
Sun Dec 17 22:39:24 UTC 2017,23.93
Sun Dec 17 22:39:33 UTC 2017,23.93
Sun Dec 17 22:39:41 UTC 2017,23.93
Sun Dec 17 22:39:50 UTC 2017,23.93
Sun Dec 17 22:39:58 UTC 2017,23.93
Sun Dec 17 22:40:07 UTC 2017,23.93
Sun Dec 17 22:40:15 UTC 2017,23.93
Sun Dec 17 22:40:28 UTC 2017,23.93
Sun Dec 17 22:40:36 UTC 2017,23.93
Sun Dec 17 22:40:45 UTC 2017,23.94
Sun Dec 17 22:40:53 UTC 2017,23.94
Sun Dec 17 22:41:01 UTC 2017,23.93
Sun Dec 17 22:41:09 UTC 2017,23.93
Sun Dec 17 22:41:18 UTC 2017,23.94
Sun Dec 17 22:41:26 UTC 2017,23.94
Sun Dec 17 22:41:34 UTC 2017,23.94
Sun Dec 17 22:41:43 UTC 2017,23.94
Sun Dec 17 22:41:51 UTC 2017,23.94
Sun Dec 17 22:42:00 UTC 2017,23.94
Sun Dec 17 22:42:08 UTC 2017,23.94
Sun Dec 17 22:42:16 UTC 2017,23.94
Sun Dec 17 22:42:29 UTC 2017,23.94
Sun Dec 17 22:42:37 UTC 2017,23.94
Sun Dec 17 22:42:46 UTC 2017,23.94
Sun Dec 17 22:42:54 UTC 2017,23.94
Sun Dec 17 22:43:03 UTC 2017,23.94
Sun Dec 17 22:43:12 UTC 2017,23.94
Sun Dec 17 22:43:21 UTC 2017,23.94
Sun Dec 17 22:43:28 UTC 2017,23.94
Sun Dec 17 22:43:37 UTC 2017,23.94
Sun Dec 17 22:43:45 UTC 2017,23.94
Sun Dec 17 22:43:53 UTC 2017,23.94
Sun Dec 17 22:44:01 UTC 2017,23.94
Sun Dec 17 22:44:09 UTC 2017,23.94
Sun Dec 17 22:44:17 UTC 2017,23.94
Sun Dec 17 22:44:29 UTC 2017,23.94
Sun Dec 17 22:44:37 UTC 2017,23.95
Sun Dec 17 22:44:45 UTC 2017,23.94
Sun Dec 17 22:44:53 UTC 2017,23.94
Sun Dec 17 22:45:01 UTC 2017,23.94
Sun Dec 17 22:45:09 UTC 2017,23.94
Sun Dec 17 22:45:18 UTC 2017,23.94
Sun Dec 17 22:45:25 UTC 2017,23.94
Sun Dec 17 22:45:37 UTC 2017,23.94
Sun Dec 17 22:45:45 UTC 2017,23.94
Sun Dec 17 22:45:52 UTC 2017,23.94
Sun Dec 17 22:46:00 UTC 2017,23.94
Sun Dec 17 22:46:08 UTC 2017,23.94
Sun Dec 17 22:46:16 UTC 2017,23.94
Sun Dec 17 22:46:27 UTC 2017,23.94
Sun Dec 17 22:46:36 UTC 2017,23.94
Sun Dec 17 22:46:49 UTC 2017,23.95
Sun Dec 17 22:46:57 UTC 2017,23.95
Sun Dec 17 22:47:07 UTC 2017,23.95
Sun Dec 17 22:47:17 UTC 2017,23.95
Sun Dec 17 22:47:25 UTC 2017,23.95
Sun Dec 17 22:47:33 UTC 2017,23.95
Sun Dec 17 22:47:43 UTC 2017,23.95
Sun Dec 17 22:47:52 UTC 2017,23.95
Sun Dec 17 22:48:01 UTC 2017,23.95
Sun Dec 17 22:48:10 UTC 2017,23.95
Sun Dec 17 22:48:19 UTC 2017,23.95
Sun Dec 17 22:48:30 UTC 2017,23.95
Sun Dec 17 22:48:39 UTC 2017,23.95
Sun Dec 17 22:48:46 UTC 2017,23.95
Sun Dec 17 22:48:55 UTC 2017,23.95
Sun Dec 17 22:49:04 UTC 2017,23.95
Sun Dec 17 22:49:12 UTC 2017,23.95
Sun Dec 17 22:49:20 UTC 2017,23.95
Sun Dec 17 22:49:29 UTC 2017,23.95
Sun Dec 17 22:49:38 UTC 2017,23.95
Sun Dec 17 22:49:46 UTC 2017,23.95
Sun Dec 17 22:49:55 UTC 2017,23.95
Sun Dec 17 22:50:03 UTC 2017,23.95
Sun Dec 17 22:50:12 UTC 2017,23.95
Sun Dec 17 22:50:21 UTC 2017,23.94
Sun Dec 17 22:50:33 UTC 2017,23.95
Sun Dec 17 22:50:40 UTC 2017,23.95
Sun Dec 17 22:50:49 UTC 2017,23.95
Sun Dec 17 22:50:57 UTC 2017,23.95
Sun Dec 17 22:51:05 UTC 2017,23.95
Sun Dec 17 22:51:15 UTC 2017,23.95
Sun Dec 17 22:51:23 UTC 2017,23.95
Sun Dec 17 22:51:31 UTC 2017,23.95
Sun Dec 17 22:51:40 UTC 2017,23.95
Sun Dec 17 22:51:48 UTC 2017,23.95
Sun Dec 17 22:51:55 UTC 2017,23.95
Sun Dec 17 22:52:03 UTC 2017,23.95
Sun Dec 17 22:52:11 UTC 2017,23.95
Sun Dec 17 22:52:19 UTC 2017,23.95
Sun Dec 17 22:52:31 UTC 2017,23.95
Sun Dec 17 22:52:40 UTC 2017,23.96
Sun Dec 17 22:52:48 UTC 2017,23.96
Sun Dec 17 22:52:57 UTC 2017,23.96
Sun Dec 17 22:53:05 UTC 2017,23.96
Sun Dec 17 22:53:12 UTC 2017,23.96
Sun Dec 17 22:53:22 UTC 2017,23.96
Sun Dec 17 22:53:30 UTC 2017,23.96
Sun Dec 17 22:53:38 UTC 2017,23.96
Sun Dec 17 22:53:46 UTC 2017,23.96
Sun Dec 17 22:53:55 UTC 2017,23.95
Sun Dec 17 22:54:02 UTC 2017,23.95
Sun Dec 17 22:54:09 UTC 2017,23.95
Sun Dec 17 22:54:17 UTC 2017,23.95
Sun Dec 17 22:54:29 UTC 2017,23.95
Sun Dec 17 22:54:37 UTC 2017,23.95
Sun Dec 17 22:54:47 UTC 2017,23.95
Sun Dec 17 22:54:54 UTC 2017,23.95
Sun Dec 17 22:55:01 UTC 2017,23.96
Sun Dec 17 22:55:09 UTC 2017,23.95
Sun Dec 17 22:55:18 UTC 2017,23.95
Sun Dec 17 22:55:26 UTC 2017,23.96
Sun Dec 17 22:55:33 UTC 2017,23.96
Sun Dec 17 22:55:41 UTC 2017,23.96
Sun Dec 17 22:55:48 UTC 2017,23.96
Sun Dec 17 22:55:55 UTC 2017,23.95
Sun Dec 17 22:56:03 UTC 2017,23.95
Sun Dec 17 22:56:11 UTC 2017,23.96
Sun Dec 17 22:56:18 UTC 2017,23.96
Sun Dec 17 22:56:29 UTC 2017,23.96
Sun Dec 17 22:56:35 UTC 2017,23.96
Sun Dec 17 22:56:42 UTC 2017,23.96
Sun Dec 17 22:56:49 UTC 2017,23.96
Sun Dec 17 22:56:56 UTC 2017,23.96
Sun Dec 17 22:57:05 UTC 2017,23.96
Sun Dec 17 22:57:12 UTC 2017,23.96
Sun Dec 17 22:57:19 UTC 2017,23.96
Sun Dec 17 22:57:28 UTC 2017,23.96
Sun Dec 17 22:57:35 UTC 2017,23.96
Sun Dec 17 22:57:42 UTC 2017,23.96
Sun Dec 17 22:57:51 UTC 2017,23.96
Sun Dec 17 22:57:59 UTC 2017,23.96
Sun Dec 17 22:58:08 UTC 2017,23.97
Sun Dec 17 22:58:15 UTC 2017,23.97
Sun Dec 17 22:58:31 UTC 2017,23.96
Sun Dec 17 22:58:38 UTC 2017,23.96
Sun Dec 17 22:58:47 UTC 2017,23.96
Sun Dec 17 22:58:54 UTC 2017,23.96
Sun Dec 17 22:59:02 UTC 2017,23.96
Sun Dec 17 22:59:09 UTC 2017,23.96
Sun Dec 17 22:59:45 UTC 2017,23.96
Sun Dec 17 22:59:50 UTC 2017,23.96
Sun Dec 17 22:59:57 UTC 2017,23.96
Sun Dec 17 23:00:04 UTC 2017,23.96
Sun Dec 17 23:00:10 UTC 2017,23.96
Sun Dec 17 23:00:17 UTC 2017,23.96
Sun Dec 17 23:00:28 UTC 2017,23.97
Sun Dec 17 23:00:35 UTC 2017,23.97
Sun Dec 17 23:00:45 UTC 2017,23.97
Sun Dec 17 23:00:52 UTC 2017,23.97
Sun Dec 17 23:01:00 UTC 2017,23.97
Sun Dec 17 23:01:21 UTC 2017,23.97
Sun Dec 17 23:01:27 UTC 2017,23.97
Sun Dec 17 23:01:33 UTC 2017,23.97
Sun Dec 17 23:01:40 UTC 2017,23.97
Sun Dec 17 23:01:47 UTC 2017,23.97
Sun Dec 17 23:01:53 UTC 2017,23.97
Sun Dec 17 23:02:00 UTC 2017,23.97
Sun Dec 17 23:02:21 UTC 2017,23.97
Sun Dec 17 23:02:48 UTC 2017,23.98
Sun Dec 17 23:02:57 UTC 2017,23.98
Sun Dec 17 23:03:03 UTC 2017,23.97
Sun Dec 17 23:03:09 UTC 2017,23.97
Sun Dec 17 23:03:20 UTC 2017,23.97
