date,score
Sun Dec 17 23:26:14 UTC 2017,24.06
Sun Dec 17 23:26:20 UTC 2017,24.06
Sun Dec 17 23:26:31 UTC 2017,24.06
Sun Dec 17 23:26:37 UTC 2017,24.06
Sun Dec 17 23:26:44 UTC 2017,24.06
Sun Dec 17 23:26:50 UTC 2017,24.06
Sun Dec 17 23:26:57 UTC 2017,24.06
Sun Dec 17 23:27:04 UTC 2017,24.06
Sun Dec 17 23:27:13 UTC 2017,24.06
Sun Dec 17 23:27:34 UTC 2017,24.06
Sun Dec 17 23:27:41 UTC 2017,24.06
Sun Dec 17 23:27:48 UTC 2017,24.06
Sun Dec 17 23:28:08 UTC 2017,24.07
Sun Dec 17 23:28:32 UTC 2017,24.07
Sun Dec 17 23:28:40 UTC 2017,24.07
Sun Dec 17 23:29:00 UTC 2017,24.07
Sun Dec 17 23:29:07 UTC 2017,24.07
Sun Dec 17 23:29:14 UTC 2017,24.07
Sun Dec 17 23:29:21 UTC 2017,24.07
Sun Dec 17 23:29:31 UTC 2017,24.07
Sun Dec 17 23:29:37 UTC 2017,24.07
Sun Dec 17 23:29:43 UTC 2017,24.07
Sun Dec 17 23:29:50 UTC 2017,24.07
Sun Dec 17 23:29:57 UTC 2017,24.07
Sun Dec 17 23:30:03 UTC 2017,24.07
Sun Dec 17 23:30:10 UTC 2017,24.07
Sun Dec 17 23:30:17 UTC 2017,24.07
Sun Dec 17 23:30:28 UTC 2017,24.07
Sun Dec 17 23:30:34 UTC 2017,24.07
Sun Dec 17 23:30:40 UTC 2017,24.07
Sun Dec 17 23:30:47 UTC 2017,24.07
Sun Dec 17 23:30:54 UTC 2017,24.07
Sun Dec 17 23:30:59 UTC 2017,24.07
Sun Dec 17 23:31:06 UTC 2017,24.07
Sun Dec 17 23:31:13 UTC 2017,24.07
Sun Dec 17 23:31:19 UTC 2017,24.07
Sun Dec 17 23:31:27 UTC 2017,24.07
